historian,period_label,interest,year,publication_title
Stefano Tumidei,Renaissance,Quattrocento,1987,Un'aggiunta al 'Maestro dei Baldraccani' e qualche appunto sulla pittura romagnola del tardo Quattrocento
Wolfgang Lotz,Renaissance,Quattrocento,1972,"Architecture in Italy, 1400 to 1600"
John Pope-Hennessy,Renaissance,High Renaissance,1963,Italian High Renaissance and Baroque sculpture
Everett Fahy,Renaissance,Domenico Ghirlandaio,2008,"Firenze e gli antichi Paesi Bassi : 1430-1530 : dialoghi tra artisti : da Jan Van Eyck a Ghirlandaio, de Memling a Raffaello"
Leo Steinberg,Renaissance,Renaissance,1983,The sexuality of Christ in Renaissance art and in modern oblivion
Wolfgang Lotz,Renaissance,Renaissance architecture,1972,"Architecture in Italy, 1400 to 1600"
John Pope-Hennessy,Renaissance,Fra Angelico,1952,Fra Angelico
Leo Steinberg,Renaissance,Titian,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Federico Zeri,Renaissance,Renaissance,1985,Renaissance et pseudo renaissance
Fritz Heinemann,Renaissance,Titian,1928,"Tizian, die zwei ersten Jahrzehnte seiner künstlerischen Entwichlung"
Leo Steinberg,Renaissance,Cappella Paolina,1975,"Michelangelo's last paintings : the Conversion of St. Paul and the Crucifixion of St. Peter in the Cappella Paolina, Vatican Palace"
Wolfgang Lotz,Renaissance,Michelangelo,1995,"Architecture in Italy, 1500-1600"
Leo Steinberg,Renaissance,Renaissance,2019,Michelangelo's painting : selected essays
John Pope-Hennessy,Renaissance,Italian Renaissance,1958,Italian renaissance sculpture
Fritz Heinemann,Renaissance,Giovanni Bellini,1959,Giovanni Bellini e i Belliniani
Luisa Vertova,Renaissance,Lorenzo Lotto,1955,Lotto
Wolfgang Lotz,Renaissance,Palazzo Zuccari,1967,Der Palazzo Zuccari in Rom : ein Künstlerhaus des 16. Jahrhunderts als Sitz eines Max-Planck-Instituts
Ulrich Middeldorf,Renaissance,Filippo Lippi,,"E.P. (Edgar Preston) Richardson papers, 1893-1994."
Wolfgang Lotz,Renaissance,Italian Renaissance,1975,Studies in Italian Renaissance architecture
Wolfgang Lotz,Renaissance,Renaissance,1955,The northern renaissance
Ellis Waterhouse,Renaissance,El Greco,1978,El Greco
Ernst Steinmann,Renaissance,Sandro Botticelli,1903,Botticelli
Richard Krautheimer,Renaissance,Renaissance,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Werner Cohn,Renaissance,Fra Angelico,1956,Rückblick auf das Fra Angelico Jahr
Aby Warburg,Renaissance,Renaissance,1892,La Naissance de Vénus & Le Printemps de Sandro Botticelli étude des représentations de l'Antiquité dans la première Renaissance italienne
John Pope-Hennessy,Renaissance,Filippo Lippi,,"Director's Office Records of Receptions, Events, and Lectures, 1957-1989."
Everett Fahy,Renaissance,Italian Renaissance,2008,Art and love in Renaissance Italy
Ernst Steinmann,Renaissance,Domenico Ghirlandaio,1897,Ghirlandaio
Fritz Heinemann,Renaissance,Paolo Veronese,1981,Neue Beiträge zum Werk Paolo Veroneses
John Pope-Hennessy,Renaissance,Sandro Botticelli,1963,The portrait in the Renaissance
Ernst Steinmann,Renaissance,Michelangelo,1913,Die Portraitdarstellungen des Michelangelo
Leo Steinberg,Renaissance,Michelangelo,2019,Michelangelo's painting : selected essays
John Pope-Hennessy,Renaissance,High Renaissance,1963,The portrait in the Renaissance
Kurt Badt,Renaissance,Paolo Veronese,1981,Paolo Veronese
Wolfgang Lotz,Renaissance,Federico Zuccari,1967,Der Palazzo Zuccari in Rom : ein Künstlerhaus des 16. Jahrhunderts als Sitz eines Max-Planck-Instituts
Everett Fahy,Renaissance,Leonardo da Vinci,1979,The legacy of Leonardo : Italian Renaissance paintings from Leningrad
Kornél Fabriczy,Renaissance,Filippo Brunelleschi,1907,Brunelleschiana : Urkunden und Forschungen zur Biographie des Meisters
Luisa Vertova,Renaissance,Titian,1951,Titian
Kurt Badt,Renaissance,Andrea Solari,1941,Andrea Solario: Sein Leben und sein Werke: Ein Beitrag zur Kunstgeschichte der Lombardei
Fritz Heinemann,Renaissance,Giovanni Bellini,1962,Giovanni Bellini e i Belliniani: Volume II by Fritz Heinemann
Leo Steinberg,Renaissance,The Crucifixion of St. Peter,1975,"Michelangelo's last paintings : the Conversion of St. Paul and the Crucifixion of St. Peter in the Cappella Paolina, Vatican Palace"
John Pope-Hennessy,Renaissance,Renaissance,1963,The portrait in the Renaissance
John Pope-Hennessy,Renaissance,Paolo Uccello,1950,The complete work of Paolo Uccello
John Pope-Hennessy,Renaissance,Raphael,1950,Raphael
Wolfgang Lotz,Renaissance,Filippo Brunelleschi,1972,"Architecture in Italy, 1400 to 1600"
Everett Fahy,Renaissance,El Greco,,The Wrightsman collection
Luisa Vertova,Renaissance,Quattrocento,1981,"Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc."
Everett Fahy,Renaissance,Domenico Ghirlandaio,1968,Some followers of Domenico Ghirlandajo
Everett Fahy,Renaissance,Giovanni Bellini,2011,"Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]"
Ernst Steinmann,Renaissance,Michelangelo,1927,"Michelangelo-Bibliographie, 1927-1970"
John Pope-Hennessy,Renaissance,Paolo Uccello,1969,"Paolo Uccello, complete edition"
Ellis Waterhouse,Renaissance,Hans Holbein,1953,"Painting in Britain, 1530 to 1790"
Ernst Steinmann,Renaissance,Sandro Botticelli,1897,Botticelli
Ernst Steinmann,Renaissance,Michelangelo,1930,Michelangelo im Spiegel seiner Zeit
Ellis Waterhouse,Renaissance,Filippo Lippi,,"Notes and clippings, ca. 1820-1860, relating to Charles Matthews."
John Pope-Hennessy,Renaissance,Filippo Lippi,,"Papers, ca. 1900-1994."
Fritz Heinemann,Renaissance,Renaissance,1965,Zwischen Renaissance und Barock
Werner Cohn,Renaissance,Hans Holbein,1957,"Hans Holbein, 1497-1543"
Leo Steinberg,Renaissance,Raphael,2020,Renaissance and baroque art : selected essays
Richard Krautheimer,Renaissance,Renaissance,1975,"The Rome of Alexander VII, 1655-1667"
Everett Fahy,Renaissance,Renaissance,2011,"Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]"
Wolfgang Lotz,Renaissance,Renaissance,1975,Studies in Italian Renaissance architecture
